service_rte_num,weekday,week_rel,yrly_rel
114,weekday,-324.85676902353526,-324.85676902353526
981,weekday,-215.91121917559235,-215.91121917559235
214,weekday,-186.525399638538,-186.525399638538
989,weekday,-144.13515851375783,-144.13515851375783
120,weekday,-43.3773860612129,15.625219985924376
57,weekday,-18.166522940158345,-18.166522940158345
16,weekday,-14.2028859033663,-14.2028859033663
56,weekday,-5.719652170067315,-5.719652170067315
304,weekday,22.748485222276184,22.748485222276184
982,weekday,26.474526287707576,26.474526287707576
20,weekday,31.195505758044174,59.97323483346282
673,weekday,34.287854323826735,54.4249891178187
994,weekday,37.97765644077715,37.97765644077715
64,weekday,39.574789407555286,39.574789407555286
121,weekday,43.31213538131722,43.31213538131722
895,weekday,45.36816855019308,45.36816855019308
893,weekday,47.20615756135473,47.20615756135473
984,weekday,51.853435989219726,51.853435989219726
545,weekday,53.24953262876288,164.7628340566849
372,weekday,56.67635042680929,92.71373059359377
554,weekday,59.898647765492065,113.11038496535835
986,weekday,61.29038387811998,61.29038387811998
187,weekend,61.70611393180322,85.60954782132396
301,weekday,69.73840250543061,69.73840250543061
542,weekday,69.89277524128437,178.98929461400056
50,weekday,70.57140100908329,101.76755475754814
672,weekday,72.07085215306472,108.52825074894368
346,weekday,73.00322497484962,87.93256118550904
255,weekday,75.30135673112954,213.6713804107575
249,weekday,75.96883483865615,113.56289081056646
673,weekend,76.05376352618043,54.4249891178187
105,weekday,76.51380539123643,79.7435735279544
522,weekend,76.98718334736024,82.67012451576494
10,weekday,78.08999868193548,94.0990955809524
101,weekday,78.27409257195328,84.10138805939238
120,weekend,79.99169931007414,15.625219985924376
184,weekend,81.49955076952695,100.87560365305234
73,weekday,81.8785577125774,88.19624873332106
671,weekend,82.5126408627647,103.73132976450155
105,weekend,83.2125837488737,79.7435735279544
156,weekend,84.18928295759926,97.51583010846491
331,weekday,84.31429030295473,112.72730883784159
345,weekday,85.0709978948846,104.76870446153026
217,weekday,85.40262042081237,85.40262042081237
14,weekday,87.3976771716837,129.8990427014911
342,weekday,87.81016978889143,87.81016978889143
150,weekend,87.86490228103996,93.69375907202925
522,weekday,87.96113870703829,82.67012451576494
55,weekday,88.10711147767176,88.10711147767176
3,weekday,90.29183098114916,106.3341581579494
101,weekend,90.36033506441956,84.10138805939238
20,weekend,90.88264754409767,59.97323483346282
167,weekday,91.27510887466936,91.27510887466936
239,weekend,91.32966109299396,100.33027111741004
676,weekend,91.64862661246988,95.34314845461184
160,weekday,94.42839971953451,97.15723847277094
73,weekend,94.98191686671238,88.19624873332106
231,weekend,95.8059905888284,120.37026744732032
29,weekday,97.08029077389521,97.08029077389521
676,weekday,98.7828756869509,95.34314845461184
150,weekday,99.12062573950203,93.69375907202925
674,weekday,99.77442511758903,120.72603195885938
160,weekend,100.08821342995081,97.15723847277094
311,weekday,100.51523243924395,100.51523243924395
102,weekday,102.7443769166314,102.7443769166314
48,weekday,102.89348375194697,111.02362479052329
346,weekend,103.9677741525136,87.93256118550904
240,weekday,104.39615584412604,117.59481435072844
7,weekday,104.78306762784833,153.44232530778748
2,weekday,104.86715605605694,121.62097702422574
269,weekday,105.66464547943302,105.66464547943302
230,weekend,106.44621299247471,151.92443917665383
221,weekday,107.42798007356178,107.8726467475067
107,weekend,107.68263075157658,139.46366516541173
182,weekend,107.86009124078994,137.0324570710524
187,weekday,107.86446902880877,85.60954782132396
221,weekend,108.3502516935957,107.8726467475067
239,weekday,108.71014941600431,100.33027111741004
75,weekday,108.84392731781656,119.08089414901885
36,weekday,109.46437683911023,116.09643802530894
181,weekday,109.55804291871095,118.21752055221154
156,weekday,109.9233050420295,97.51583010846491
70,weekday,111.17725129058657,123.32896961934473
10,weekend,111.2940515095261,94.0990955809524
330,weekday,114.00188293336385,114.00188293336385
148,weekend,114.12434880259002,134.89494498609383
322,weekday,114.17295138201715,114.17295138201715
65,weekend,114.55922713744692,146.09509504001304
245,weekday,114.68638089613306,125.9796148525647
13,weekday,114.8651477618131,124.49204664312359
225,weekend,115.18606131325672,141.13054990535448
60,weekday,116.14817498212248,147.3744092510364
118,weekend,116.23290735731076,128.9052046997115
79,weekday,116.85095783230058,116.85095783230058
675,weekday,117.62855148880163,133.22949155826453
550,weekend,118.28590988260495,121.78506213647259
184,weekday,118.91537702736906,100.87560365305234
678,weekday,119.26108312415683,140.81516183984147
48,weekend,119.75599849862377,111.02362479052329
119,weekday,119.76982258544324,119.76982258544324
67,weekend,119.9074291398763,150.6857797716686
165,weekend,120.08697515163998,133.47328637630946
320,weekday,121.20037783773411,121.20037783773411
36,weekend,123.21976300307794,116.09643802530894
671,weekday,123.4866608109462,103.73132976450155
3,weekend,123.56480586636448,106.3341581579494
550,weekday,125.04289354524592,121.78506213647259
345,weekend,125.925500403483,104.76870446153026
246,weekday,126.58889870715389,126.58889870715389
250,weekday,126.6086539798198,139.0135287028753
303,weekday,127.46554470815387,127.46554470815387
181,weekend,127.51844097337882,118.21752055221154
75,weekend,130.07615481956944,119.08089414901885
216,weekday,130.49138857081954,130.49138857081954
372,weekend,131.42054632828822,92.71373059359377
240,weekend,131.77115126522733,117.59481435072844
5,weekday,132.73257081620847,197.03607063529094
268,weekday,133.67944123408003,133.67944123408003
27,weekday,133.6942234115533,172.8853174685534
44,weekday,134.1973450834184,138.7961900338199
22,weekday,134.43362731420257,134.43362731420257
13,weekend,134.83204914527187,124.49204664312359
45,weekday,135.05272672481453,144.08327435630687
50,weekend,135.274534709603,101.76755475754814
226,weekday,136.27323959624914,156.54746264320679
70,weekend,136.38081523171462,123.32896961934473
4,weekday,136.75359592840863,152.32166350844992
245,weekend,138.1093846576209,125.9796148525647
21,weekday,139.53569463037977,188.9221221119185
40,weekday,139.55799936971465,157.72087917877766
2,weekend,139.61582176781445,121.62097702422574
118,weekday,140.703550501257,128.9052046997115
1,weekday,141.29699486200263,180.15584450629106
125,weekday,142.42243881674585,154.2434997670944
241,weekday,143.07666538643477,153.49041669173388
674,weekend,143.22960967726087,120.72603195885938
231,weekday,143.2404562466059,120.37026744732032
331,weekend,143.24499541234968,112.72730883784159
44,weekend,143.7356901657326,138.7961900338199
183,weekend,144.41716454163867,172.61909711985265
128,weekend,145.47828186386968,157.47402938336293
165,weekday,145.93640372341554,133.47328637630946
271,weekday,146.23559168515087,230.95372410959976
232,weekday,147.41294142603053,147.41294142603053
566,weekday,147.55000039302317,147.55000039302317
672,weekend,147.68619738896183,108.52825074894368
218,weekday,149.12911131819322,149.12911131819322
675,weekend,149.98605681805802,133.22949155826453
33,weekday,151.55564422319497,187.1009516678741
250,weekend,152.33728303504603,139.0135287028753
113,weekday,152.56467954491487,152.56467954491487
124,weekday,153.30595782882716,171.60507257305179
45,weekend,153.78275144198386,144.08327435630687
249,weekend,153.94169166928492,113.56289081056646
148,weekday,154.2330862603905,134.89494498609383
15,weekday,155.2871511525362,155.2871511525362
348,weekend,155.33674284751353,169.23516118663
347,weekday,156.35776495225628,168.06350261509823
18,weekday,157.0016760596804,157.0016760596804
302,weekday,157.19021418360273,157.19021418360273
161,weekday,159.04974664958942,162.76788158408786
257,weekday,160.3450605773282,160.3450605773282
24,weekday,160.7687636401193,185.74441530904699
556,weekday,162.51783598612542,162.51783598612542
131,weekday,163.85712401460327,175.6782984455282
182,weekday,164.19293560267607,137.0324570710524
678,weekend,164.3742711337293,140.81516183984147
241,weekend,164.6755569826107,153.49041669173388
225,weekday,165.2857634221352,141.13054990535448
987,weekday,165.66021540044306,165.66021540044306
31,weekend,166.3952442557592,177.93099542389754
49,weekday,166.7058798472937,188.82367989409565
161,weekend,166.76143392114173,162.76788158408786
125,weekend,167.42852928863698,154.2434997670944
128,weekday,168.64248397047737,157.47402938336293
4,weekend,169.0429212796054,152.32166350844992
107,weekday,169.05290410243066,139.46366516541173
32,weekday,169.1549405892014,191.3912377873118
12,weekend,169.4146191770485,170.53664238485004
554,weekend,170.2637323281777,113.11038496535835
12,weekday,171.58128468176875,170.53664238485004
65,weekday,175.45607550102284,146.09509504001304
14,weekend,175.5486575298028,129.8990427014911
168,weekend,175.54865975173684,187.40486392467992
40,weekend,177.22915749221573,157.72087917877766
226,weekend,178.32347998993905,156.54746264320679
28,weekday,178.60742399998398,203.00875611082262
67,weekday,179.34148553230278,150.6857797716686
132,weekday,179.48313262005158,191.48021385068066
106,weekday,179.8839413229514,181.12683182437192
347,weekend,180.63633195666918,168.06350261509823
60,weekend,180.91369791024027,147.3744092510364
177,weekday,181.71131440039036,181.71131440039036
348,weekday,182.17506791615222,169.23516118663
106,weekend,182.46178828886065,181.12683182437192
190,weekday,183.0220080354768,183.0220080354768
237,weekday,183.2742890465253,183.2742890465253
43,weekday,186.18024069607546,202.25193424335953
131,weekend,188.37511542689202,175.6782984455282
9,weekday,188.41501804666373,188.41501804666373
31,weekday,188.67117754595736,177.93099542389754
124,weekend,191.25967729833008,171.60507257305179
11,weekday,194.12769676757608,261.92113870759323
230,weekday,194.2662359688206,151.92443917665383
183,weekday,197.9035883968721,172.61909711985265
168,weekday,198.44339884431656,187.40486392467992
8,weekend,200.94837103740988,221.4260575641832
132,weekend,204.36596776506002,191.48021385068066
62,weekend,205.43044423712126,208.75718561362004
7,weekend,205.70597244549992,153.44232530778748
212,weekday,211.69072517279855,211.69072517279855
62,weekday,211.85449655036027,208.75718561362004
24,weekend,212.57011524974712,185.74441530904699
49,weekend,212.57983549991997,188.82367989409565
988,weekday,213.72791890388598,213.72791890388598
27,weekend,214.97945552977578,172.8853174685534
32,weekend,215.27466811120817,191.3912377873118
111,weekday,219.43688772045195,219.43688772045195
43,weekend,219.51412360896092,202.25193424335953
1,weekend,221.89312745756382,180.15584450629106
162,weekday,224.2288479216902,224.2288479216902
33,weekend,225.27924484919615,187.1009516678741
28,weekend,229.21759430394562,203.00875611082262
153,weekday,229.5396834756311,229.5396834756311
208,weekday,233.91272375329993,237.1827465203275
17,weekday,240.23796047987054,240.23796047987054
8,weekday,240.49148984773078,221.4260575641832
208,weekend,240.83007960662746,237.1827465203275
21,weekend,241.96680348097863,188.9221221119185
5,weekend,266.10279266319435,197.03607063529094
193,weekday,269.4602809607896,269.4602809607896
545,weekend,284.5363800348234,164.7628340566849
542,weekend,296.167037643955,178.98929461400056
271,weekend,321.9472737506745,230.95372410959976
11,weekend,334.7363170876116,261.92113870759323
992,weekday,361.486255042564,361.486255042564
255,weekend,362.29103547406163,213.6713804107575
