stop_id,weekday,week_rel
85254,weekend,926.939301565163
68463,weekday,814.7583333333333
53508,weekday,633.1647422889611
10653,weekday,578.0824355367855
85254,weekday,565.2534648494775
53504,weekday,533.7973101216073
68005,weekend,525.8382667776044
12377,weekend,490.4505998403073
47970,weekday,477.8105049208388
12470,weekend,472.9883624506891
76036,weekday,461.7912076169047
21850,weekend,454.7183769758693
54760,weekday,449.98220687626906
54003,weekday,443.6932930677832
29240,weekend,438.7995533453963
83752,weekday,432.5754873062698
54841,weekday,418.50153123718445
65015,weekend,418.4233912479939
46730,weekday,405.92223310570904
64308,weekend,401.76839287255956
64960,weekend,399.89982046287275
54060,weekday,392.8926987460543
30160,weekday,377.50214482247304
18930,weekday,373.769906600967
71348,weekend,371.1300287691389
74230,weekend,370.58006799027646
62299,weekday,368.2065390888231
29405,weekend,364.93253117729415
9144,weekend,362.2878704619595
64397,weekend,360.7234432234432
64397,weekday,356.9899066852358
65049,weekend,356.86118650302933
82841,weekday,355.92801008617573
22260,weekend,355.2517900370025
85781,weekend,354.15338827838826
80432,weekday,353.1107103371882
71353,weekend,350.8238659958336
64579,weekend,349.5576975828652
15395,weekend,344.3431086435446
29865,weekday,343.60754160369544
12380,weekday,343.5256472115714
71336,weekend,341.7080599965043
12377,weekday,340.49381639561557
15201,weekend,339.8284582330105
47235,weekday,338.2029657477026
12322,weekday,337.4738764916281
68004,weekday,336.1874849884473
85781,weekday,331.4707525911266
41981,weekday,330.2024863247962
29254,weekday,330.0964285714286
6640,weekend,329.9103159476685
15460,weekend,329.5302288152739
12470,weekday,328.7508345178451
62299,weekend,328.59902082723323
70180,weekend,328.55142392391673
12210,weekend,326.1554248104215
6710,weekend,325.4670176282282
6440,weekend,322.63869029910626
31680,weekday,322.59166666666664
72580,weekday,316.3634135338346
55928,weekday,314.59175254926896
22940,weekend,313.9110189103958
22830,weekend,313.4195910164959
3250,weekday,312.51260162601625
6237,weekend,310.2788637441573
71951,weekend,307.13375545687677
29247,weekend,307.0806826541006
720,weekday,305.5069002619683
69028,weekend,303.8906180148827
28470,weekend,302.3841130259615
31350,weekend,301.0117427380147
8641,weekday,300.9969107692143
73812,weekday,300.91551462388094
6340,weekend,299.9185353514553
65092,weekend,299.13392210070845
62301,weekday,299.0826608940983
54135,weekday,295.2084411157203
22260,weekday,295.2079228222502
84280,weekday,295.04794645073935
60453,weekday,294.5302531750368
64583,weekend,293.9850332620018
67150,weekend,293.8029293466315
13870,weekend,293.2858577733667
700,weekend,290.5391330746754
60373,weekday,288.8848645890738
2295,weekday,287.7599776169914
65014,weekend,287.7344376106186
85066,weekday,287.5072209991561
760,weekend,287.4459260471239
19550,weekday,286.6652998236332
56161,weekend,286.33208690708153
71345,weekend,285.62261607004103
62328,weekday,285.6030734713372
31460,weekend,284.91976840940777
26965,weekday,284.79745852252466
55875,weekday,284.1686507936508
64512,weekday,284.06624109308996
19440,weekend,284.01984295426786
77080,weekday,283.37186967418546
37360,weekend,282.6749846254273
11150,weekend,279.5044769478133
85924,weekday,278.1683230642416
11680,weekend,277.38722793567644
84014,weekday,274.67826455876695
25752,weekend,273.9226926206735
64413,weekday,273.45205289984335
72311,weekend,272.91261505271444
6176,weekend,271.3930201723462
84354,weekday,271.0376998054906
41989,weekday,270.5368398795863
59904,weekday,270.2733485849568
47872,weekday,269.429978030113
27570,weekend,269.4141707139776
64413,weekend,268.17621801275646
28600,weekend,267.29430849153135
71410,weekday,266.73901515151516
60480,weekday,265.6545012794275
57776,weekday,265.3299012409575
24680,weekend,265.17270426375296
64670,weekend,264.4852071621667
40077,weekday,264.1716264034043
40097,weekend,264.14566501330535
85902,weekday,264.13806849416085
20890,weekend,263.8595344211928
5980,weekend,263.38133056428507
71345,weekday,263.3677896231405
10915,weekend,263.085190168442
7430,weekend,262.44585195383826
40077,weekend,262.41400151000647
70170,weekend,262.259641977907
18630,weekday,261.77272676902186
64585,weekend,261.2032058859314
21765,weekend,261.01589183217754
12487,weekday,260.9825806721579
37460,weekend,260.63617674075573
30690,weekend,259.6463757260945
41970,weekend,259.5942959939751
56450,weekend,259.19698384340757
99271,weekend,258.0891975308642
56450,weekday,257.70988560180825
73814,weekend,257.1130793140891
75820,weekend,257.104059590513
56031,weekend,256.0383360158555
49588,weekend,255.97533372887543
45870,weekday,255.92153227777825
11060,weekday,255.4793557138418
45870,weekend,255.42507871532175
30690,weekday,255.3167738446142
49724,weekend,255.24532621594665
14230,weekend,254.79442699091214
37360,weekday,254.55000721554524
10513,weekday,254.07814750232947
68597,weekend,253.92275848801046
49588,weekday,253.86118053219442
62301,weekend,253.23128014972744
64308,weekday,253.08673844266858
80668,weekday,253.06844903607734
6880,weekend,252.92321382544648
49440,weekday,252.90482165702414
18390,weekday,252.52197218541994
34930,weekday,251.71547619047618
81434,weekday,251.7021223507552
18630,weekend,251.69927646355967
64512,weekend,251.66498599439777
67655,weekend,251.4647657822279
12380,weekend,251.23495119713905
45692,weekday,249.8207427904661
11352,weekend,248.8331685971655
56031,weekday,247.68738545792525
75670,weekday,247.39596955805968
68598,weekend,247.08046732153596
49733,weekday,245.85182567525322
6050,weekend,245.57241820758253
47872,weekend,245.5421589456177
81440,weekday,245.4109988394818
56161,weekday,245.19906658295807
85796,weekday,244.94538638809217
71359,weekday,243.42675706399362
77890,weekday,242.97529350598842
85796,weekend,242.8086692154
64802,weekend,242.69326906585735
11060,weekend,242.23028784789406
65015,weekday,241.90936187200427
60010,weekday,241.66168144264188
13870,weekday,241.54539304857127
42080,weekend,241.35587676299545
8870,weekend,241.28093293037767
6940,weekday,241.20986681268897
49490,weekday,241.01587659414392
60480,weekend,240.9511265848649
12322,weekend,240.71413840626417
25880,weekday,240.51372969499087
17950,weekday,239.44093719530358
29540,weekday,239.4117524726653
29280,weekday,239.35691056910568
26400,weekend,239.35525269036415
17694,weekend,239.0921355379412
45960,weekend,239.03022977379592
5419,weekday,238.81124889374587
12010,weekend,238.80615468505496
74450,weekend,238.08727970221918
2250,weekend,237.65831188617426
5492,weekend,237.37412583493816
1340,weekend,237.26756129816567
64333,weekend,236.02948717948718
75909,weekday,235.76108929629243
49930,weekend,235.73568300638863
21833,weekend,235.37573757819993
74232,weekend,234.9955549783727
26010,weekday,234.80245965348968
14360,weekend,234.14486056335545
62328,weekend,233.73478085459493
60150,weekday,233.70020846443543
8494,weekend,233.6750682506067
80762,weekday,233.63120762376275
49733,weekend,233.48413500081443
7350,weekend,231.9164068443377
2250,weekday,231.9041860915756
50703,weekday,231.63851805720932
9000,weekend,230.8790486364195
45780,weekend,230.86419247652614
12010,weekday,230.7255124413274
61446,weekday,230.62251338408018
1370,weekend,230.34989773130198
61441,weekday,230.0840728901208
9580,weekend,230.05691251503242
29270,weekday,229.80740099110577
590,weekend,229.58474238941008
41955,weekday,229.49408455563733
5790,weekend,228.82385978015043
45960,weekday,228.61889150000619
51520,weekend,228.53984689932216
29270,weekend,228.48814203305056
71341,weekend,228.3614935577341
26510,weekend,228.13098767420414
53538,weekday,228.11889330869124
15395,weekday,227.76061790856022
71326,weekend,227.6279003139286
16390,weekend,227.57955012069024
57806,weekend,226.7213496335932
12600,weekday,226.66072835621222
8681,weekend,226.1433850986046
29600,weekday,226.1090516774809
99267,weekday,226.07693912560518
80509,weekday,225.8489228909067
8760,weekend,225.5783843610602
10915,weekday,225.5229763995551
31140,weekend,225.37160879262404
23610,weekday,224.7667383640725
22160,weekday,224.67622048401356
41900,weekend,224.4234365827594
64448,weekend,224.33150183150184
6940,weekend,224.21581689915024
75307,weekday,224.17195242925706
29245,weekday,224.0994782695215
11200,weekend,223.7626550799118
85250,weekend,223.54820493912771
30170,weekday,223.43075681621815
2010,weekend,223.33131939304192
82854,weekday,222.88377976190475
18390,weekend,222.6658035672754
13282,weekday,222.653204585631
26965,weekend,222.01109333596978
1085,weekend,221.8778651122074
59358,weekday,219.72827731295672
11150,weekday,219.2356267093256
7350,weekday,219.01920237731056
36931,weekend,218.92713350466178
29245,weekend,218.9207435875621
57113,weekday,218.8532722294644
85782,weekend,218.77216117216116
68370,weekday,218.75492345860366
32165,weekend,217.58979797454035
29540,weekend,217.2478821271443
80496,weekend,217.05830170132123
28210,weekday,217.05790061082004
50480,weekday,216.97506690174149
15201,weekday,216.8377341235275
5710,weekend,216.792785635505
57127,weekday,216.63509425601902
12487,weekend,216.54667654807523
21833,weekday,216.53133300781323
49440,weekend,216.45706117549022
9605,weekday,216.43936717545003
844,weekend,216.39987791426054
17160,weekend,216.12660764198867
98105,weekend,215.4683436823048
8330,weekend,215.128014404939
50734,weekday,214.8494867835824
70826,weekend,214.42339659742592
64960,weekday,213.62867138628044
74785,weekday,213.25408343003133
1420,weekday,212.7047237849186
18465,weekday,212.62200161392462
42080,weekday,212.2829185889219
11080,weekend,211.7028578152031
80509,weekend,211.37329233181086
52636,weekday,211.25872766064026
64448,weekday,210.49764851830554
71335,weekend,210.2857398510635
27175,weekend,209.8079836372829
68370,weekend,209.75129341758975
40802,weekday,209.7432212977585
67944,weekend,209.63264092211764
64333,weekday,209.16603491999427
18220,weekend,209.1584284038887
75307,weekend,208.94339572868574
21440,weekend,208.92414257481124
39340,weekend,208.79805853913697
13760,weekday,208.41799052954516
35570,weekday,208.37544836579923
26645,weekend,208.32900203497715
98750,weekend,207.84327964345326
28780,weekday,207.78618961196094
30538,weekend,207.7002720631027
37460,weekday,207.63195223714848
31135,weekday,207.5797619047619
70130,weekday,207.56755752242645
16103,weekend,207.33065695544786
53070,weekend,207.02181069535996
31930,weekend,206.8429680980226
3600,weekend,206.70489209044004
31350,weekday,206.65419309404743
85782,weekday,206.51475274917044
39340,weekday,205.94649812120437
99271,weekday,205.90263582203238
19630,weekday,205.82336132938505
68390,weekday,205.63579040144523
30635,weekend,205.6004335127644
64845,weekend,205.5839992182452
58084,weekday,205.47644728003547
84352,weekday,205.45182813429193
61310,weekday,205.41245212666854
2295,weekend,205.3818818997926
65335,weekday,205.19250501159075
60450,weekday,205.07055550015465
31670,weekend,204.74191849421499
57806,weekday,204.42546984665478
57892,weekday,204.1774209708526
71954,weekend,204.02134773752317
45410,weekday,203.9556011301229
81755,weekend,203.85872551519716
4500,weekday,203.4916917530702
35319,weekday,203.4396344874264
70516,weekday,203.03863636363636
2330,weekend,202.8501956526824
29091,weekend,202.82302717615036
2180,weekend,202.675746410782
50787,weekday,202.64407034383913
40097,weekday,202.61920654984075
2220,weekend,202.6025638049573
250,weekday,202.46239867929918
12640,weekday,202.41892282250822
59200,weekend,201.91112064151568
32150,weekend,201.6902087691609
71331,weekend,201.1857795596685
625,weekday,201.118205324078
8590,weekend,201.09135388451313
10562,weekend,200.99004107227086
68398,weekend,200.89219255091072
55940,weekday,200.57579365079366
36931,weekday,200.38885327714556
11200,weekday,200.31480586605443
68390,weekend,200.05207166428872
8090,weekday,199.58333333333331
31731,weekend,199.51249474458174
40828,weekend,199.47748049725763
69028,weekday,199.3418727451561
99267,weekend,198.80263815402705
58137,weekday,198.77107279693487
45453,weekday,198.7350701693097
18465,weekend,198.69018704646848
18440,weekend,198.68549183619862
10916,weekend,198.65454652820588
10280,weekday,198.63299901186883
26510,weekday,198.4845802222087
997,weekday,198.33620704243918
50010,weekend,198.3210325108889
74270,weekday,198.27872090144447
11358,weekend,198.13274923626648
12350,weekend,198.07255426450837
18740,weekday,197.9768997885085
37840,weekday,197.9512307404744
36145,weekend,197.91553073152338
17698,weekend,197.88491562449894
10641,weekend,197.852918860755
9147,weekday,197.80029689618132
7730,weekend,197.71986403362652
60747,weekday,197.6879970730059
40828,weekday,197.20957475851887
75409,weekend,197.08216374046143
75670,weekend,196.55788523970986
20530,weekend,196.53345297838754
38730,weekday,196.3190630065563
19440,weekday,196.25684548608416
3210,weekend,196.24708115187966
70702,weekend,196.21932124757342
16106,weekend,196.09413536220904
12640,weekend,196.0905092937867
67470,weekend,196.07195585010209
84014,weekend,195.93290458980982
15460,weekday,195.6989037094341
29600,weekend,195.31754327638816
29405,weekday,195.20746468805748
1110,weekend,194.73423721340387
77890,weekend,194.55103990594907
64590,weekend,194.2992811667287
39260,weekday,193.55537157406718
52636,weekend,193.43432389315788
45780,weekday,192.9287217106084
82235,weekday,192.7291317480556
58084,weekend,192.58097192174128
9575,weekend,192.38694111448677
7210,weekend,192.37237639544523
58394,weekday,192.2193063274375
57640,weekday,192.08130320370825
4370,weekend,192.07338766139281
16390,weekday,192.06705398829763
26860,weekday,192.0330241449896
98750,weekday,191.87065830997213
80380,weekday,191.47275572887702
29247,weekday,191.31230611908128
23831,weekend,191.30361467801276
41930,weekend,191.21757882102403
31590,weekend,190.92366532639542
1580,weekday,190.79739073361807
1370,weekday,190.68002613112927
27910,weekday,190.54906730414763
12690,weekday,190.09289370009998
450,weekend,189.94226192521663
21450,weekend,189.78466443074348
29231,weekend,189.68598689268418
64840,weekday,189.4595238095238
55780,weekday,188.93706927035308
5400,weekend,188.92648678233834
7950,weekend,188.80200181567838
31137,weekend,188.71528357974898
75403,weekend,188.6739202640256
37940,weekday,188.6381195083551
23831,weekday,188.59647960239317
64845,weekday,188.55037814864593
73816,weekend,188.44095435412228
68354,weekend,188.42040003422173
12600,weekend,188.37178315675413
41830,weekend,188.2653569033818
1120,weekend,188.0596211571746
39431,weekend,187.74612743311283
70529,weekday,187.67992424242425
64622,weekday,187.625104427736
75909,weekend,187.60635393292256
1180,weekend,187.39051054377268
1420,weekend,187.03095223964212
31731,weekday,187.008929186223
81980,weekday,186.94919901309413
51520,weekday,186.86257052621082
68597,weekday,186.67210607361133
5330,weekend,186.54780620167995
7210,weekday,186.2731252813055
73350,weekend,186.12004350530762
73240,weekend,185.99005322033713
22160,weekend,185.7009759681554
75932,weekend,185.67204683122077
3210,weekday,185.44446967684547
5420,weekday,185.21040019010758
29262,weekday,185.10771018141182
8541,weekend,184.98596736238153
69126,weekend,184.90534258452388
28080,weekday,184.8069411696714
41450,weekday,184.77024435207503
2370,weekend,184.4857366185099
28210,weekend,184.4203784199035
6640,weekday,184.38114410336124
80515,weekday,184.26941619239062
36940,weekday,184.2010458517072
37940,weekend,184.07780238376716
13005,weekday,184.0348151339739
16520,weekday,183.77135967810435
10640,weekday,183.65520936468397
1530,weekend,183.64749447517798
10916,weekday,183.62495970030497
3600,weekday,183.54874361724367
59882,weekday,183.2052076888184
77490,weekday,183.19285320197346
46770,weekday,183.02032942055033
28470,weekday,182.96617144338953
19140,weekday,182.8328397322288
8210,weekend,182.64599392303447
30460,weekend,182.42540040624277
36525,weekday,182.27975220160937
46233,weekday,182.08377463950248
8401,weekend,181.69776363699592
75732,weekday,181.65713536002136
9141,weekday,181.63418733444357
3037,weekday,181.48149303338693
23895,weekend,181.28395531192228
73130,weekday,181.0292687999835
57127,weekend,180.57072652822907
46541,weekend,180.55235660492082
64065,weekend,180.33422779742625
1690,weekend,180.22673034113183
21440,weekday,180.15089704040173
84264,weekend,179.99638234748662
85902,weekend,179.94571659817254
31610,weekend,179.84190351934737
72881,weekday,179.8128206689649
14360,weekday,179.76046405668524
6440,weekday,179.5889530597593
60900,weekday,179.57321156284763
39260,weekend,179.24287205923784
68200,weekday,179.17138373910151
13005,weekend,179.03669088308516
69876,weekend,179.00753289919956
80710,weekday,178.69879201351958
74785,weekend,178.55407114932933
59882,weekend,178.27910415268718
9141,weekend,178.25449532695922
68750,weekend,178.24402542314252
79562,weekend,178.15033262072248
16380,weekday,178.14780899808602
619,weekend,177.80402798131482
59200,weekday,177.63445534754766
62234,weekday,177.25119635021386
26400,weekday,176.9255401871756
433,weekend,176.90691837502663
65252,weekend,176.68930047124223
41740,weekend,176.67443496869697
10030,weekday,176.60708976051734
75820,weekday,176.4392693070498
84263,weekday,176.37408030667189
82167,weekday,176.2675814204604
61441,weekend,176.22037841806934
50734,weekend,175.8766892722001
8110,weekend,175.84284928742227
9000,weekday,175.68097520205933
11190,weekend,175.54787208903036
64305,weekday,175.48978263779074
21620,weekend,175.48238518886214
6237,weekday,175.130492408085
11358,weekday,175.0137251385733
65049,weekday,175.0108265953682
35600,weekend,174.9596533477715
47320,weekday,174.34391520510616
68740,weekend,174.28559937948765
38830,weekday,174.23614018208443
53503,weekend,174.1527086642571
85260,weekday,174.11983855131777
48810,weekday,174.0020057423276
18740,weekend,173.94573770259836
85942,weekend,173.93971467129361
25240,weekend,173.71540600879982
13282,weekend,173.6625319700055
59740,weekday,173.5192765251908
2244,weekday,173.51723512051535
515,weekend,173.08419656065882
7160,weekday,172.97211880995005
49490,weekend,172.40866587558114
71346,weekend,172.3900312669167
16440,weekend,172.3361985398492
62234,weekend,172.33007084926754
76830,weekend,172.22892435280173
53503,weekday,172.21303878083265
57452,weekday,172.04319200509252
20890,weekday,171.96504232421344
2220,weekday,171.72157923668667
31930,weekday,171.40462064865142
37081,weekday,171.28578230320167
7430,weekday,171.08491709775015
73130,weekend,171.0191045785934
21141,weekend,171.00653158791084
41902,weekend,170.97752010454505
41247,weekend,170.90842712713655
16520,weekend,170.7205506446829
4500,weekend,170.68806750744562
82770,weekend,170.5086407232607
73079,weekday,170.5030303030303
48880,weekday,170.4620240668116
43020,weekend,170.39982585840454
41121,weekend,170.27703953473576
64579,weekday,170.1560168459739
68803,weekday,169.89296964228276
70040,weekend,169.8325990744509
84292,weekend,169.6964317150474
840,weekday,169.359720464453
300,weekday,169.31934129877396
3484,weekend,169.092712406858
37081,weekend,169.0690885677075
74270,weekend,168.95163746881414
39443,weekday,168.94087653799022
57210,weekday,168.93791368884808
27570,weekday,168.93000497136524
30140,weekday,168.79704778662142
625,weekend,168.65017733451737
36890,weekend,168.25623359520964
2330,weekday,168.19228091501708
65940,weekday,168.16577085766227
41989,weekend,168.14899816354065
16430,weekend,168.06309799880097
39429,weekday,168.05212489167155
41740,weekday,167.79753233441383
9132,weekend,167.64181885542945
40032,weekday,167.61223762268207
68005,weekday,167.53672954720668
61330,weekday,167.40756803958527
77490,weekend,167.19596507160233
72314,weekend,167.1255981232099
40880,weekday,167.05269665083344
29091,weekday,166.84735312546394
3860,weekend,166.80580975489772
80031,weekday,166.5450418597508
68355,weekend,166.46965165752144
